year,African_Teams,Best_Performance,Best_Team,Best_Performance_Label,Annotation
1930,0,0,,No African teams,
1934,1,3,Egypt,Round of 16,Egypt: Africa's first WC appearance
1938,0,0,,No African teams,
1950,0,0,,No African teams,
1954,0,0,,No African teams,
1958,0,0,,No African teams,
1962,0,0,,No African teams,
1966,0,0,,No African teams,
1970,1,1,Morocco,Group stage,Africa returns after 36 years
1974,1,1,Zaire,Group stage,
1978,1,1,Tunisia,Group stage,
1982,2,1,Algeria,Group stage,
1986,2,3,Morocco,Round of 16,
1990,2,4,Cameroon,Quarter-finals,Cameroon reach quarter-finals
1994,3,3,Nigeria,Round of 16,
1998,5,3,Nigeria,Round of 16,Expanded to 5 African slots
2002,5,4,Senegal,Quarter-finals,
2006,5,3,Ghana,Round of 16,
2010,6,4,Ghana,Quarter-finals,First WC on African soil
2014,5,3,Algeria,Round of 16,
2018,5,1,Egypt,Group stage,
2022,5,5,Morocco,Third place,Morocco reach semi-finals
2026,9,,"Morocco, Nigeria, Senegal + 6 others",Tournament in progress,Historic: 9 African slots
